OrderId;OrderDate;ShipDate;ShipMode;City;CustomerId;OrderDateCalc;IngestionDate;loadingTime;filename
CA-2017-152156;2017-08-11;2017/11/11;Second Class;Henderson;CG-12520;2017-08-11;2022-06-21;04:41:50;train.csv
CA-2017-152156;2017-08-11;2017/11/11;Second Class;Henderson;CG-12520;2017-08-11;2022-06-21;04:41:50;train.csv
CA-2017-138688;2017-12-06;2017/06/16;Second Class;Los Angeles;DV-13045;2017-12-06;2022-06-21;04:41:50;train.csv
US-2016-108966;2016-11-10;2016/10/18;Standard Class;Fort Lauderdale;SO-20335;2016-11-10;2022-06-21;04:41:50;train.csv
US-2016-108966;2016-11-10;2016/10/18;Standard Class;Fort Lauderdale;SO-20335;2016-11-10;2022-06-21;04:41:50;train.csv
CA-2015-115812;2015-09-06;2015/06/14;Standard Class;Los Angeles;BH-11710;2015-09-06;2022-06-21;04:41:50;train.csv
CA-2015-115812;2015-09-06;2015/06/14;Standard Class;Los Angeles;BH-11710;2015-09-06;2022-06-21;04:41:50;train.csv
CA-2015-115812;2015-09-06;2015/06/14;Standard Class;Los Angeles;BH-11710;2015-09-06;2022-06-21;04:41:50;train.csv
CA-2015-115812;2015-09-06;2015/06/14;Standard Class;Los Angeles;BH-11710;2015-09-06;2022-06-21;04:41:50;train.csv
CA-2015-115812;2015-09-06;2015/06/14;Standard Class;Los Angeles;BH-11710;2015-09-06;2022-06-21;04:41:50;train.csv
CA-2015-115812;2015-09-06;2015/06/14;Standard Class;Los Angeles;BH-11710;2015-09-06;2022-06-21;04:41:50;train.csv
CA-2015-115812;2015-09-06;2015/06/14;Standard Class;Los Angeles;BH-11710;2015-09-06;2022-06-21;04:41:50;train.csv
CA-2018-114412;2018-04-15;2018/04/20;Standard Class;Concord;AA-10480;2018-04-15;2022-06-21;04:41:50;train.csv
CA-2017-161389;2017-05-12;2017/10/12;Standard Class;Seattle;IM-15070;2017-05-12;2022-06-21;04:41:50;train.csv
US-2016-118983;2016-11-22;2016/11/26;Standard Class;Fort Worth;HP-14815;2016-11-22;2022-06-21;04:41:50;train.csv
US-2016-118983;2016-11-22;2016/11/26;Standard Class;Fort Worth;HP-14815;2016-11-22;2022-06-21;04:41:50;train.csv
CA-2015-105893;2015-11-11;2015/11/18;Standard Class;Madison;PK-19075;2015-11-11;2022-06-21;04:41:50;train.csv
